,SYMBOL,Astro_M_E18_WB_2,Astro_M_P120_CORT_2,L2_3_IT_M_E18_WB_2,L2_3_IT_M_P30_CORT_2,L2_3_IT_M_P60_CORT_2,L2_3_IT_M_P120_CORT_2,L4_M_E18_WB_2,L4_M_P30_CORT_2,L4_M_P60_CORT_2,L4_M_P120_CORT_2,L5_M_E18_WB_2,L5_M_P30_CORT_2,L5_M_P60_CORT_2,L5_M_P120_CORT_2,L6_M_E18_WB_2,L6_M_P30_CORT_2,L6_M_P60_CORT_2,L6_M_P120_CORT_2,Lamp5_M_E18_WB_2,Lamp5_M_P30_CORT_2,Lamp5_M_P60_CORT_2,Lamp5_M_P120_CORT_2,Oligo_M_E18_WB_2,Oligo_M_P30_CORT_2,Oligo_M_P60_CORT_2,Oligo_M_P120_CORT_2,Pvalb_M_E18_WB_2,Pvalb_M_P30_CORT_2,Pvalb_M_P60_CORT_2,Pvalb_M_P120_CORT_2,Sncg_M_P120_CORT_2,Sst_M_E18_WB_2,Sst_M_P30_CORT_2,Sst_M_P60_CORT_2,Sst_M_P120_CORT_2,Vip_M_E18_WB_2,Vip_M_P30_CORT_2,Vip_M_P60_CORT_2,Vip_M_P120_CORT_2
51,Avp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.37069797147945e-07,1.0,1.0,1.0,2.33466242239855e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Grm7,1.0,1.0,1.0,1.0,1.0,1.0,0.0088740549918642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0051464985809195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.52626017587328e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Ptgds,1.0,1.0,0.0,0.0151194755713907,1.0,8.67837932170472e-06,0.0533011448227424,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.48274620338741e-06,1.0,1.30694177390422e-06,6.91136037289652e-12,1.0,1.0,0.0168326030475079,0.0013559018355007,1.0,1.0,1.0,0.0,2.7807086008802e-07,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0002250257364286,1.0,1.0,1.0
54,Nwd2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055008383672108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,Atoh7,1.0,1.0,1.0,1.0,1.0,0.0057289154107814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022803083688835,1.0,1.0,1.0,3.54432643446283e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.049975718789862,1.0,1.0,1.0,1.0,0.0213415540651276,1.0,1.0,1.0,0.0686976173857793
56,Gm5914,1.0,1.0,1.0,1.0,1.0,0.0065930037943483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005645693994456,1.0,1.0,1.0,4.4889325798847e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,Pomc,1.0,1.0,1.0,1.0,1.0,5.82971673379595e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001620070795723,1.0,1.0,1.0,6.36332097662488e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0096519039658077,1.0,1.0,1.0,1.0,0.0056195549290256,1.0,1.0,1.0,1.0
58,Mid1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0012053762224446,1.0,1.0,0.0365887563066641,0.0,1.0,0.0,0.0067115886926058,0.0,1.0,1.0163290209419502e-09,1.0,6.09696094158199e-06,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.78232691983111e-11,1.0,1.0,0.0,1.0,2.8247506436032e-11,1.0,3.63123228153128e-08,1.0,0.0015339217686778
59,Egr2,1.0,1.0,1.0,5.1239188195155e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0080668547774761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Mrap2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0352863533582989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
