,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Pigq,-0.805280185,8.093508428,-2.748576446,0.007446866,0.053680998,-2.471713758,P30,MUT cells from HET vs WT cells from WT,Pigq
Rab22a,-0.804467793,7.527672026,-4.601424009,1.61579598313024e-05,0.002223814,2.85322932,P30,MUT cells from HET vs WT cells from WT,Rab22a
Oxsr1,-0.800772021,7.984249957,-2.660087589,0.009494137,0.062609071,-2.682384227,P30,MUT cells from HET vs WT cells from WT,Oxsr1
Sf3b6,-0.799084608,7.827336393,-3.791767029,0.000294902,0.007404437,0.247025384,P30,MUT cells from HET vs WT cells from WT,Sf3b6
Epb41l2,-0.797461757,7.984179208,-3.015335105,0.00347184,0.03440362,-1.855289652,P30,MUT cells from HET vs WT cells from WT,Epb41l2
Sdf4,-0.796160207,7.979088407,-2.739354865,0.007639612,0.054804631,-2.506178533,P30,MUT cells from HET vs WT cells from WT,Sdf4
Catspere2,-0.794161348,7.696654723,-4.198003935,7.13317708648505e-05,0.004241102,1.507258511,P30,MUT cells from HET vs WT cells from WT,Catspere2
Ost4,-0.792760943,7.72911737,-4.134253061,8.96006940843636e-05,0.004664541,1.301981199,P30,MUT cells from HET vs WT cells from WT,Ost4
Zfp800,-0.791165209,7.790860759,-4.023629902,0.000132485,0.004916843,0.952343577,P30,MUT cells from HET vs WT cells from WT,Zfp800
Lypla2,-0.78841783,7.942847598,-3.332809902,0.001321241,0.018895864,-1.046453946,P30,MUT cells from HET vs WT cells from WT,Lypla2
Exosc9,-0.785587076,7.611487338,-4.423577175,3.13652774650355e-05,0.002823779,2.249253123,P30,MUT cells from HET vs WT cells from WT,Exosc9
Chmp5,-0.785273975,7.588261974,-3.573349789,0.000610852,0.011551795,-0.419063518,P30,MUT cells from HET vs WT cells from WT,Chmp5
Gm2824,-0.785259232,7.427814146,-4.902580513,5.10643598020205e-06,0.001405594,3.911641055,P30,MUT cells from HET vs WT cells from WT,Gm2824
Sec22a,-0.784814516,7.930198687,-3.1927974,0.002038405,0.02463321,-1.414510591,P30,MUT cells from HET vs WT cells from WT,Sec22a
Mgrn1,-0.784151329,8.257156346,-3.121373026,0.002531523,0.028039161,-1.592184646,P30,MUT cells from HET vs WT cells from WT,Mgrn1
Cdkal1,-0.783193725,7.593666186,-3.674344506,0.000437605,0.009470496,-0.120767171,P30,MUT cells from HET vs WT cells from WT,Cdkal1
Laptm4a,-0.782583065,8.185015167,-2.846935626,0.005650603,0.044628356,-2.243362531,P30,MUT cells from HET vs WT cells from WT,Laptm4a
Arih2,-0.782580681,7.693659268,-3.87619609,0.000221057,0.006318816,0.498514211,P30,MUT cells from HET vs WT cells from WT,Arih2
Wnk2,-0.782255914,7.75613817,-3.390939512,0.001099839,0.016750009,-0.901331476,P30,MUT cells from HET vs WT cells from WT,Wnk2
Sgcd,-0.781963621,7.578136621,-3.354647772,0.001233555,0.018130168,-1.05266336,P30,MUT cells from HET vs WT cells from WT,Sgcd
Dus3l,-0.780473815,8.119197553,-3.456354737,0.00089265,0.014646589,-0.722727023,P30,MUT cells from HET vs WT cells from WT,Dus3l
Mbd4,-0.77954888,7.535771917,-4.968388491,3.95225618785961e-06,0.00120726,4.142870928,P30,MUT cells from HET vs WT cells from WT,Mbd4
Dbi,-0.778989141,7.466570077,-4.134929155,8.93851736206011e-05,0.004664541,1.288256,P30,MUT cells from HET vs WT cells from WT,Dbi
Minpp1,-0.778679188,7.542151713,-5.019029572,3.24163972030648e-06,0.001179885,4.324148225,P30,MUT cells from HET vs WT cells from WT,Minpp1
Fam91a1,-0.777639106,7.72639948,-3.463337364,0.000872855,0.014440479,-0.705209595,P30,MUT cells from HET vs WT cells from WT,Fam91a1
Usp42,-0.776580101,7.631100856,-3.080324853,0.002863146,0.030485531,-1.760862763,P30,MUT cells from HET vs WT cells from WT,Usp42
Ttc13,-0.776428724,7.754812791,-3.303324579,0.001448964,0.019868446,-1.145283729,P30,MUT cells from HET vs WT cells from WT,Ttc13
Dffa,-0.77599414,7.771514057,-3.271969726,0.001597459,0.021047935,-1.221554694,P30,MUT cells from HET vs WT cells from WT,Dffa
Cdk11b,-0.775828,8.184889472,-2.859507155,0.005452247,0.043583138,-2.214410677,P30,MUT cells from HET vs WT cells from WT,Cdk11b
Mrpl24,-0.773902318,7.868441804,-3.244529989,0.001739016,0.022206815,-1.283735441,P30,MUT cells from HET vs WT cells from WT,Mrpl24
Mettl8,-0.773688927,7.861423681,-3.363886313,0.001198134,0.017755569,-0.9693705,P30,MUT cells from HET vs WT cells from WT,Mettl8
Atp6v1c1,-0.772419393,7.847516597,-3.243042353,0.001747017,0.022232584,-1.290448262,P30,MUT cells from HET vs WT cells from WT,Atp6v1c1
Kdm5b,-0.770139363,7.914149983,-2.910358364,0.004713563,0.039808182,-2.116011216,P30,MUT cells from HET vs WT cells from WT,Kdm5b
Chl1,-0.769553359,8.208296016,-2.852905825,0.005555591,0.044018287,-2.229503282,P30,MUT cells from HET vs WT cells from WT,Chl1
Mccc1,-0.769304412,7.91923423,-3.653837135,0.000468479,0.009815792,-0.158567326,P30,MUT cells from HET vs WT cells from WT,Mccc1
Gad2,0.768768208,8.766841554,3.243525983,0.001744412,0.022232584,-1.284133131,P30,MUT cells from HET vs WT cells from WT,Gad2
