,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Ccdc342,-0.051227242,7.792343161,-0.362876151,0.717098685,0.925633598,-5.772066026,P150,MUT cells from HET vs WT cells from WT,Ccdc342
Ppfia42,0.051141153,7.742629375,0.385076593,0.700609173,0.91986925,-5.80544455,P150,MUT cells from HET vs WT cells from WT,Ppfia42
Polg2,0.051134736,7.70130647,0.526531478,0.599129945,0.883124606,-5.77875826,P150,MUT cells from HET vs WT cells from WT,Polg2
Cnppd12,-0.051100881,7.595145418,-0.51929219,0.60415826,0.884726303,-5.874787914,P150,MUT cells from HET vs WT cells from WT,Cnppd12
Gsn2,-0.05108837,7.482283978,-0.919294845,0.359100971,0.75665892,-5.68211917,P150,MUT cells from HET vs WT cells from WT,Gsn2
Urgcp2,-0.051075002,8.176761936,-0.323763729,0.746471183,0.935274199,-5.522190192,P150,MUT cells from HET vs WT cells from WT,Urgcp2
Lmna2,-0.051020713,7.544814967,-0.63410151,0.526773325,0.850211451,-5.837470132,P150,MUT cells from HET vs WT cells from WT,Lmna2
Cfl22,-0.050972665,7.951707565,-0.373453945,0.70922482,0.923173285,-5.649890982,P150,MUT cells from HET vs WT cells from WT,Cfl22
Lgmn2,-0.050924449,7.805825355,-0.432867629,0.665599366,0.908904148,-5.737853862,P150,MUT cells from HET vs WT cells from WT,Lgmn2
Fcho22,0.050923567,7.899813044,0.413599283,0.679631648,0.911909924,-5.670079559,P150,MUT cells from HET vs WT cells from WT,Fcho22
Lmbrd12,0.050920383,8.392761261,0.344565656,0.730800051,0.929774928,-5.433331974,P150,MUT cells from HET vs WT cells from WT,Lmbrd12
Eif4e22,-0.050903258,7.655129594,-0.461474401,0.644983439,0.899948949,-5.851001842,P150,MUT cells from HET vs WT cells from WT,Eif4e22
Aasdhppt2,-0.050886913,7.722440196,-0.513411703,0.608256772,0.88622933,-5.769274242,P150,MUT cells from HET vs WT cells from WT,Aasdhppt2
Gm493362,-0.050833066,7.732224273,-0.414951056,0.678643483,0.911909924,-5.795140424,P150,MUT cells from HET vs WT cells from WT,Gm493362
Banp2,-0.050782084,7.605254356,-0.636498774,0.525213487,0.849884169,-5.801848265,P150,MUT cells from HET vs WT cells from WT,Banp2
Atg4d2,0.050716715,7.913386957,0.304997546,0.760700143,0.943006302,-5.711622188,P150,MUT cells from HET vs WT cells from WT,Atg4d2
Thap42,-0.050699355,7.628304914,-0.65665357,0.512194135,0.845646337,-5.760426914,P150,MUT cells from HET vs WT cells from WT,Thap42
Ccdc502,-0.050667789,8.081839672,-0.3230549,0.747007088,0.93578911,-5.567799073,P150,MUT cells from HET vs WT cells from WT,Ccdc502
Satb21,-0.050646012,7.559706817,-0.667337929,0.505361818,0.843953828,-5.821981293,P150,MUT cells from HET vs WT cells from WT,Satb21
Snph2,-0.050644736,8.344723781,-0.321970187,0.747827417,0.935905565,-5.449131164,P150,MUT cells from HET vs WT cells from WT,Snph2
Nup2052,-0.050615688,7.597670122,-0.552083566,0.581536562,0.877459477,-5.852228771,P150,MUT cells from HET vs WT cells from WT,Nup2052
A230057D06Rik2,0.050598245,8.007128871,0.343120669,0.731885067,0.930067722,-5.609055231,P150,MUT cells from HET vs WT cells from WT,A230057D06Rik2
Cct72,-0.050583976,8.059433711,-0.393096687,0.694686504,0.918158093,-5.566486121,P150,MUT cells from HET vs WT cells from WT,Cct72
Foxp12,0.05057415,7.650737291,0.568163139,0.570591581,0.873565965,-5.807574634,P150,MUT cells from HET vs WT cells from WT,Foxp12
Rnf1521,0.050570207,7.589222394,0.568513822,0.570353986,0.873431068,-5.863113113,P150,MUT cells from HET vs WT cells from WT,Rnf1521
Zfp4282,-0.050565142,7.672339207,-0.612259375,0.541094411,0.859007448,-5.753666175,P150,MUT cells from HET vs WT cells from WT,Zfp4282
Eif2s3x2,-0.050561838,7.819004362,-0.452547675,0.65138811,0.901996108,-5.716118639,P150,MUT cells from HET vs WT cells from WT,Eif2s3x2
Echs12,-0.050489846,7.600511959,-0.673353779,0.501536263,0.843953828,-5.774559906,P150,MUT cells from HET vs WT cells from WT,Echs12
Zmat42,0.05047547,8.423352343,0.286401302,0.774881216,0.9460245,-5.452898802,P150,MUT cells from HET vs WT cells from WT,Zmat42
Ctsf2,0.050474572,7.774973872,0.479272094,0.632293393,0.893911147,-5.742622643,P150,MUT cells from HET vs WT cells from WT,Ctsf2
Eif3j12,-0.050411739,7.78532311,-0.407430033,0.684148479,0.913138458,-5.760068876,P150,MUT cells from HET vs WT cells from WT,Eif3j12
Nup882,0.050394998,7.902963925,0.441071645,0.659660026,0.905791377,-5.667238147,P150,MUT cells from HET vs WT cells from WT,Nup882
Map72,0.050390856,8.041478766,0.331611531,0.740546215,0.933531542,-5.613798924,P150,MUT cells from HET vs WT cells from WT,Map72
Tln12,-0.050359788,7.695790057,-0.482308342,0.63013922,0.893804738,-5.804492951,P150,MUT cells from HET vs WT cells from WT,Tln12
Ssr12,-0.050346699,7.804553374,-0.426444749,0.670264069,0.910236741,-5.740686951,P150,MUT cells from HET vs WT cells from WT,Ssr12
Swi52,0.050335746,8.125833833,0.315239261,0.752924172,0.938180344,-5.554362985,P150,MUT cells from HET vs WT cells from WT,Swi52
Sash12,-0.050315177,7.541553242,-0.614123002,0.539864891,0.857815636,-5.862831695,P150,MUT cells from HET vs WT cells from WT,Sash12
Stmn22,0.05026772,8.82368926,0.286568854,0.774753098,0.9460245,-5.36677874,P150,MUT cells from HET vs WT cells from WT,Stmn22
Tbl1xr12,0.050243976,7.738102818,0.536368231,0.592328274,0.880555434,-5.747052008,P150,MUT cells from HET vs WT cells from WT,Tbl1xr12
Miga22,-0.050235085,7.954395771,-0.342633928,0.732250675,0.930216682,-5.66904192,P150,MUT cells from HET vs WT cells from WT,Miga22
Papola2,-0.050231721,8.237805846,-0.344920711,0.73053353,0.929774928,-5.490231477,P150,MUT cells from HET vs WT cells from WT,Papola2
Ergic22,-0.050226778,8.081111576,-0.370751335,0.711233644,0.9235726,-5.567905598,P150,MUT cells from HET vs WT cells from WT,Ergic22
Zbtb432,0.050201834,7.589809675,0.620290302,0.535806116,0.85619341,-5.826503324,P150,MUT cells from HET vs WT cells from WT,Zbtb432
Usp372,-0.050198455,7.716469658,-0.485870498,0.627615957,0.89216996,-5.779039359,P150,MUT cells from HET vs WT cells from WT,Usp372
Rnf82,0.050193269,7.62808865,0.543000096,0.587762883,0.879413503,-5.834872402,P150,MUT cells from HET vs WT cells from WT,Rnf82
Clu2,-0.050186932,8.17423938,-0.364632941,0.715788844,0.925633598,-5.519750862,P150,MUT cells from HET vs WT cells from WT,Clu2
Cers22,-0.050180521,7.584928712,-0.487291987,0.626610263,0.89216996,-5.881683225,P150,MUT cells from HET vs WT cells from WT,Cers22
Med132,-0.050150285,7.871615937,-0.426343525,0.670337687,0.910236741,-5.678189031,P150,MUT cells from HET vs WT cells from WT,Med132
Hibadh2,-0.050144798,7.927430826,-0.423622747,0.672317658,0.911080396,-5.659463394,P150,MUT cells from HET vs WT cells from WT,Hibadh2
Ddx472,-0.050112963,7.759702204,-0.525877874,0.599583144,0.883161799,-5.727749797,P150,MUT cells from HET vs WT cells from WT,Ddx472
Ap3b12,0.05010083,7.753834356,0.496996261,0.619763313,0.888214627,-5.750629752,P150,MUT cells from HET vs WT cells from WT,Ap3b12
Fastk2,0.050060743,8.09526122,0.3441824,0.731087779,0.929774928,-5.584168984,P150,MUT cells from HET vs WT cells from WT,Fastk2
Dnajb122,-0.050051567,7.787881397,-0.429026128,0.668387755,0.909891727,-5.752733799,P150,MUT cells from HET vs WT cells from WT,Dnajb122
E4f12,-0.050040649,7.741892154,-0.482148875,0.63025228,0.893804738,-5.763702112,P150,MUT cells from HET vs WT cells from WT,E4f12
Tmem912,-0.050008759,8.238016974,-0.317504282,0.75120784,0.937860403,-5.512528408,P150,MUT cells from HET vs WT cells from WT,Tmem912
Wdr482,-0.049977634,7.799210289,-0.429681821,0.667911486,0.909657031,-5.743001966,P150,MUT cells from HET vs WT cells from WT,Wdr482
Abcd22,0.049919441,7.714351154,0.462910654,0.643955426,0.899327428,-5.803518897,P150,MUT cells from HET vs WT cells from WT,Abcd22
Ifnar12,-0.049876317,7.629080442,-0.591488428,0.554892657,0.866947434,-5.801719769,P150,MUT cells from HET vs WT cells from WT,Ifnar12
Uchl12,-0.049830348,8.792093393,-0.281558568,0.778586846,0.947735538,-5.36816467,P150,MUT cells from HET vs WT cells from WT,Uchl12
B3glct2,0.049811775,7.628675563,0.52865303,0.597659973,0.882929443,-5.850715516,P150,MUT cells from HET vs WT cells from WT,B3glct2
Pcdh82,-0.049807577,7.870514187,-0.38134164,0.703373655,0.920914234,-5.705947887,P150,MUT cells from HET vs WT cells from WT,Pcdh82
Pnma22,-0.049794832,7.708306058,-0.501803051,0.616384052,0.887982702,-5.780422736,P150,MUT cells from HET vs WT cells from WT,Pnma22
Slc27a12,-0.049704677,7.586839086,-0.670174716,0.503555942,0.843953828,-5.789330852,P150,MUT cells from HET vs WT cells from WT,Slc27a12
Zrsr22,0.049642814,7.794116151,0.541341847,0.588902887,0.879626472,-5.700107676,P150,MUT cells from HET vs WT cells from WT,Zrsr22
Abcd42,0.049642778,7.725175251,0.45454872,0.649950139,0.901454374,-5.790350459,P150,MUT cells from HET vs WT cells from WT,Abcd42
Usp202,-0.049642028,7.811165231,-0.435567427,0.663642475,0.908550929,-5.733331146,P150,MUT cells from HET vs WT cells from WT,Usp202
1110004F10Rik2,0.049594386,7.880487372,0.46795843,0.640347885,0.897297057,-5.67471312,P150,MUT cells from HET vs WT cells from WT,1110004F10Rik2
Cog52,-0.049585977,7.617357683,-0.509842967,0.61075014,0.886706444,-5.852986668,P150,MUT cells from HET vs WT cells from WT,Cog52
Arl6ip52,-0.049570069,8.265431571,-0.341056341,0.733436073,0.930888554,-5.479441019,P150,MUT cells from HET vs WT cells from WT,Arl6ip52
Dynlrb12,0.049567596,8.028051864,0.376149475,0.707223285,0.922487095,-5.615998525,P150,MUT cells from HET vs WT cells from WT,Dynlrb12
Klhl92,0.049565388,7.880581881,0.373279907,0.709354119,0.923173285,-5.711174044,P150,MUT cells from HET vs WT cells from WT,Klhl92
Zcchc172,-0.049521785,7.693513771,-0.540785098,0.589285868,0.879626472,-5.776328476,P150,MUT cells from HET vs WT cells from WT,Zcchc172
Camk12,-0.04950121,8.086468944,-0.331262264,0.74080958,0.933646938,-5.56543239,P150,MUT cells from HET vs WT cells from WT,Camk12
mt-Nd12,0.049499389,7.513773692,0.759802043,0.448309781,0.817390521,-5.798348144,P150,MUT cells from HET vs WT cells from WT,mt-Nd12
Zfp402,-0.049485867,7.705202108,-0.469687076,0.639114418,0.896383269,-5.7990101,P150,MUT cells from HET vs WT cells from WT,Zfp402
Rps292,0.049458935,7.910139152,0.375989187,0.707342248,0.922487095,-5.687950826,P150,MUT cells from HET vs WT cells from WT,Rps292
Atf42,-0.049422006,7.927470267,-0.430886583,0.667036748,0.909657031,-5.646227289,P150,MUT cells from HET vs WT cells from WT,Atf42
Fryl2,-0.049396027,8.09194662,-0.321663956,0.74805906,0.935905565,-5.575828314,P150,MUT cells from HET vs WT cells from WT,Fryl2
Tssc42,-0.049335965,7.870079669,-0.442380514,0.658714448,0.905374122,-5.69091429,P150,MUT cells from HET vs WT cells from WT,Tssc42
Kcnb22,0.049328687,7.692118498,0.453380347,0.650789585,0.901814683,-5.822846978,P150,MUT cells from HET vs WT cells from WT,Kcnb22
Ghr2,-0.049227983,7.688930667,-0.451955043,0.651814233,0.902085847,-5.825763972,P150,MUT cells from HET vs WT cells from WT,Ghr2
Map7d12,-0.049213046,7.736692035,-0.504497383,0.614493458,0.887982702,-5.756868221,P150,MUT cells from HET vs WT cells from WT,Map7d12
Smarcc22,0.049212823,7.943510655,0.378968008,0.705132595,0.920914234,-5.653005923,P150,MUT cells from HET vs WT cells from WT,Smarcc22
Ccl27a2,0.049194212,7.912264253,0.441931222,0.659038972,0.905558962,-5.662044581,P150,MUT cells from HET vs WT cells from WT,Ccl27a2
Gnb42,0.049183636,7.64110677,0.530651215,0.596276991,0.882615626,-5.831451327,P150,MUT cells from HET vs WT cells from WT,Gnb42
Fdft12,-0.049110352,7.755432546,-0.510658695,0.610179813,0.88622933,-5.741650701,P150,MUT cells from HET vs WT cells from WT,Fdft12
Degs12,0.049085778,7.766320599,0.3985625,0.690660827,0.916193923,-5.780805048,P150,MUT cells from HET vs WT cells from WT,Degs12
2310057M21Rik2,-0.048970772,7.651506784,-0.502746957,0.615721427,0.887982702,-5.832456286,P150,MUT cells from HET vs WT cells from WT,2310057M21Rik2
Rexo22,-0.048957935,8.001158356,-0.340108097,0.734148892,0.930888554,-5.626468924,P150,MUT cells from HET vs WT cells from WT,Rexo22
Fem1c2,-0.048920762,7.678898848,-0.439601536,0.660722744,0.906542106,-5.833445456,P150,MUT cells from HET vs WT cells from WT,Fem1c2
Ppfia32,0.04892006,7.867700013,0.434429813,0.664466769,0.908569667,-5.692788586,P150,MUT cells from HET vs WT cells from WT,Ppfia32
Tbc1d202,-0.048911221,7.666562717,-0.499323018,0.618126544,0.888214627,-5.810463738,P150,MUT cells from HET vs WT cells from WT,Tbc1d202
Nbas2,0.048857696,7.835598066,0.363905379,0.716331203,0.925633598,-5.742865833,P150,MUT cells from HET vs WT cells from WT,Nbas2
Srpk12,0.0488462,8.068266166,0.349854053,0.726833727,0.929642181,-5.605922614,P150,MUT cells from HET vs WT cells from WT,Srpk12
Wdr72,0.048825517,7.857362369,0.42963664,0.667944299,0.909657031,-5.699978904,P150,MUT cells from HET vs WT cells from WT,Wdr72
Txn12,0.048822433,7.835949521,0.371565549,0.710628233,0.923445134,-5.741833666,P150,MUT cells from HET vs WT cells from WT,Txn12
Actn42,-0.048779194,7.757339188,-0.446679321,0.655612696,0.90394402,-5.76742273,P150,MUT cells from HET vs WT cells from WT,Actn42
Ppp2r1a2,-0.048773743,8.139614145,-0.346980392,0.72898808,0.929774928,-5.543253721,P150,MUT cells from HET vs WT cells from WT,Ppp2r1a2
Trpm41,0.048688152,7.556138437,0.519002784,0.604359674,0.884726303,-5.908379202,P150,MUT cells from HET vs WT cells from WT,Trpm41
Kat6a2,-0.048661166,7.681118875,-0.478564477,0.63279589,0.893964027,-5.81493964,P150,MUT cells from HET vs WT cells from WT,Kat6a2
Serbp12,0.048660086,8.542840994,0.294113587,0.76899051,0.944610775,-5.402146918,P150,MUT cells from HET vs WT cells from WT,Serbp12
Zfyve12,-0.048650657,7.540993214,-0.772647402,0.44068621,0.813992532,-5.756157678,P150,MUT cells from HET vs WT cells from WT,Zfyve12
Calm32,-0.048649605,8.380234265,-0.289883069,0.772220174,0.945231279,-5.462180977,P150,MUT cells from HET vs WT cells from WT,Calm32
Ammecr1l2,-0.048638068,7.737276504,-0.434894476,0.664130033,0.908569667,-5.786590381,P150,MUT cells from HET vs WT cells from WT,Ammecr1l2
Ttc39c2,-0.048626735,7.771454347,-0.444516056,0.65717283,0.904920098,-5.755242432,P150,MUT cells from HET vs WT cells from WT,Ttc39c2
Ngly12,0.04860626,7.862378483,0.415835225,0.677997445,0.911909924,-5.705908589,P150,MUT cells from HET vs WT cells from WT,Ngly12
Tada12,0.048550984,7.65704422,0.462767695,0.64405772,0.899327428,-5.850052252,P150,MUT cells from HET vs WT cells from WT,Tada12
Stk402,0.048534685,7.600760883,0.555690814,0.579072602,0.876486995,-5.850597773,P150,MUT cells from HET vs WT cells from WT,Stk402
Dusp72,0.048530481,7.598059906,0.480979715,0.631081473,0.893911147,-5.89248679,P150,MUT cells from HET vs WT cells from WT,Dusp72
Scn3a2,-0.04852944,8.017822879,-0.307221137,0.75900979,0.942002208,-5.643315152,P150,MUT cells from HET vs WT cells from WT,Scn3a2
Ptprn22,-0.048526026,8.542965567,-0.288501183,0.773276,0.94538756,-5.398765029,P150,MUT cells from HET vs WT cells from WT,Ptprn22
Gon4l2,-0.048492053,8.155807519,-0.343779876,0.731390013,0.929832946,-5.538544254,P150,MUT cells from HET vs WT cells from WT,Gon4l2
Zfp6522,0.048484894,7.618148552,0.523098132,0.60151232,0.883474813,-5.85139584,P150,MUT cells from HET vs WT cells from WT,Zfp6522
Cdc272,0.048481053,7.756988411,0.489355529,0.625151566,0.891486428,-5.750969171,P150,MUT cells from HET vs WT cells from WT,Cdc272
Fbxo412,-0.048440551,7.802815672,-0.434513089,0.664406415,0.908569667,-5.734647908,P150,MUT cells from HET vs WT cells from WT,Fbxo412
Swt12,-0.04831198,7.816783517,-0.367489288,0.713660987,0.924795984,-5.752488094,P150,MUT cells from HET vs WT cells from WT,Swt12
Teddm31,-0.048282515,7.537758745,-0.636863655,0.524976277,0.849884169,-5.844343874,P150,MUT cells from HET vs WT cells from WT,Teddm31
Nsg12,0.048256617,8.302389268,0.315574766,0.752669863,0.938180344,-5.485504671,P150,MUT cells from HET vs WT cells from WT,Nsg12
Zfp3862,0.048245007,7.697392797,0.451379811,0.652227954,0.902158334,-5.819562724,P150,MUT cells from HET vs WT cells from WT,Zfp3862
Vps722,0.048233551,7.682932674,0.479331087,0.632251508,0.893911147,-5.818242254,P150,MUT cells from HET vs WT cells from WT,Vps722
Ripor12,-0.048181256,7.661904381,-0.576466711,0.564978528,0.870717938,-5.78875206,P150,MUT cells from HET vs WT cells from WT,Ripor12
Ccsap2,0.048177516,7.675637235,0.550620976,0.582537001,0.878084552,-5.795127928,P150,MUT cells from HET vs WT cells from WT,Ccsap2
Gid82,-0.048145951,7.815668877,-0.486954616,0.626848888,0.89216996,-5.706017606,P150,MUT cells from HET vs WT cells from WT,Gid82
Rack12,0.048142407,7.807125835,0.418103176,0.676341405,0.911182906,-5.746178737,P150,MUT cells from HET vs WT cells from WT,Rack12
Atp6ap1l2,-0.048109916,7.50373484,-0.667397282,0.505323999,0.843953828,-5.858332467,P150,MUT cells from HET vs WT cells from WT,Atp6ap1l2
Ppm1k2,0.048090948,7.761399471,0.433700343,0.664995546,0.90873087,-5.770981781,P150,MUT cells from HET vs WT cells from WT,Ppm1k2
Gria22,-0.048088766,10.05473513,-0.359394409,0.719697105,0.926440469,-5.299644131,P150,MUT cells from HET vs WT cells from WT,Gria22
Tpm32,-0.048051288,7.902906411,-0.32548534,0.745170086,0.935274199,-5.702513759,P150,MUT cells from HET vs WT cells from WT,Tpm32
Rwdd4a2,-0.048046823,7.665248991,-0.554306551,0.58001755,0.876486995,-5.794149951,P150,MUT cells from HET vs WT cells from WT,Rwdd4a2
Grpel12,0.048036912,7.72538554,0.524352091,0.600641707,0.883474813,-5.760334485,P150,MUT cells from HET vs WT cells from WT,Grpel12
Becn12,0.047996732,8.18391856,0.337567236,0.736060059,0.931265176,-5.528724103,P150,MUT cells from HET vs WT cells from WT,Becn12
Trmt62,-0.047977749,8.127363902,-0.301534486,0.763335022,0.944313013,-5.554369938,P150,MUT cells from HET vs WT cells from WT,Trmt62
Mto12,-0.047973367,7.718215177,-0.426840736,0.669976105,0.910236741,-5.811768194,P150,MUT cells from HET vs WT cells from WT,Mto12
Gnb12,-0.047970052,8.038471912,-0.303458657,0.761870668,0.944144822,-5.609341097,P150,MUT cells from HET vs WT cells from WT,Gnb12
Gabra32,-0.047900649,7.868599345,-0.455143498,0.649522979,0.901380134,-5.68226189,P150,MUT cells from HET vs WT cells from WT,Gabra32
Ptges32,-0.047782388,8.175877349,-0.31619129,0.752202617,0.938061538,-5.542238674,P150,MUT cells from HET vs WT cells from WT,Ptges32
Sec22a2,-0.047780866,7.979126287,-0.321063612,0.748513247,0.936110239,-5.645596929,P150,MUT cells from HET vs WT cells from WT,Sec22a2
Mat2a2,-0.047778187,8.489143292,-0.28617407,0.775054978,0.946082429,-5.410413149,P150,MUT cells from HET vs WT cells from WT,Mat2a2
Mtx12,0.047769524,7.613311193,0.423143253,0.672666835,0.911080396,-5.907434097,P150,MUT cells from HET vs WT cells from WT,Mtx12
Papd52,-0.047728251,7.599779495,-0.529738769,0.59690833,0.882929443,-5.864284668,P150,MUT cells from HET vs WT cells from WT,Papd52
Ipo92,0.047722489,7.971541422,0.383435057,0.701823691,0.920124606,-5.636383713,P150,MUT cells from HET vs WT cells from WT,Ipo92
Heatr62,0.047683639,7.923246249,0.399254348,0.690151893,0.915935154,-5.668000089,P150,MUT cells from HET vs WT cells from WT,Heatr62
Zmat32,0.047665103,7.982361985,0.316729268,0.751794972,0.938021713,-5.647825009,P150,MUT cells from HET vs WT cells from WT,Zmat32
Dctn12,0.047662322,8.057665804,0.367917873,0.713341902,0.924542455,-5.594643584,P150,MUT cells from HET vs WT cells from WT,Dctn12
Gjc31,0.047650177,7.526639428,0.66895124,0.504334376,0.843953828,-5.847359306,P150,MUT cells from HET vs WT cells from WT,Gjc31
Nr1h22,0.047620967,7.62005542,0.473606287,0.636321612,0.895519136,-5.875600015,P150,MUT cells from HET vs WT cells from WT,Nr1h22
Pla2g12a2,0.047587119,7.720839181,0.490946305,0.624028071,0.890619331,-5.784549151,P150,MUT cells from HET vs WT cells from WT,Pla2g12a2
Slc25a392,0.047557251,7.734656832,0.475486609,0.63498355,0.89516785,-5.7801108,P150,MUT cells from HET vs WT cells from WT,Slc25a392
Ctcf2,-0.047529722,7.693565202,-0.431157029,0.666840448,0.909657031,-5.825543023,P150,MUT cells from HET vs WT cells from WT,Ctcf2
Scrn12,-0.047502344,8.203369305,-0.29544085,0.767978079,0.944610775,-5.540533599,P150,MUT cells from HET vs WT cells from WT,Scrn12
Spred12,-0.047499761,7.949110993,-0.359220035,0.719827326,0.926440469,-5.650376153,P150,MUT cells from HET vs WT cells from WT,Spred12
Rusc12,0.04747499,7.88642676,0.430510227,0.667309958,0.909657031,-5.683676225,P150,MUT cells from HET vs WT cells from WT,Rusc12
Tmeff12,0.047420879,7.758134352,0.433007399,0.665498,0.908904148,-5.771207319,P150,MUT cells from HET vs WT cells from WT,Tmeff12
Adamts182,-0.047409348,7.565588798,-0.562911546,0.574155324,0.875137033,-5.877909599,P150,MUT cells from HET vs WT cells from WT,Adamts182
Map1s2,-0.047389702,7.619433807,-0.528495065,0.597769366,0.882929443,-5.839796141,P150,MUT cells from HET vs WT cells from WT,Map1s2
Zfp2762,0.047389242,7.611311751,0.548050117,0.584297478,0.87841337,-5.857712223,P150,MUT cells from HET vs WT cells from WT,Zfp2762
Polr2k2,0.047385026,7.71661907,0.384098688,0.701332599,0.920122818,-5.824935863,P150,MUT cells from HET vs WT cells from WT,Polr2k2
Cdc25b2,-0.047281156,7.640080428,-0.520415565,0.603376727,0.884178475,-5.825467329,P150,MUT cells from HET vs WT cells from WT,Cdc25b2
Adck12,0.047259249,7.638105136,0.573757339,0.566807067,0.872458885,-5.812726153,P150,MUT cells from HET vs WT cells from WT,Adck12
Desi12,-0.047249303,7.861800965,-0.373340503,0.709309099,0.923173285,-5.71680931,P150,MUT cells from HET vs WT cells from WT,Desi12
Rplp12,0.047228613,8.564318921,0.263489684,0.792457238,0.951126152,-5.403368445,P150,MUT cells from HET vs WT cells from WT,Rplp12
Gucy1a22,-0.04722359,7.604172238,-0.515881304,0.606534018,0.886227893,-5.872708225,P150,MUT cells from HET vs WT cells from WT,Gucy1a22
Rab142,-0.047204233,8.400264193,-0.277663436,0.781571068,0.948164448,-5.437729447,P150,MUT cells from HET vs WT cells from WT,Rab142
Slc4a102,0.047134539,8.61407257,0.254639109,0.799275824,0.952419724,-5.398711015,P150,MUT cells from HET vs WT cells from WT,Slc4a102
Fam136a2,-0.047133899,7.784807311,-0.379408622,0.704805965,0.920914234,-5.772715214,P150,MUT cells from HET vs WT cells from WT,Fam136a2
Slc25a252,0.047103851,8.003908986,0.365423878,0.715199406,0.925633598,-5.616529899,P150,MUT cells from HET vs WT cells from WT,Slc25a252
Parp13,-0.047095295,7.72674844,-0.396403983,0.692249571,0.916919232,-5.814845123,P150,MUT cells from HET vs WT cells from WT,Parp13
Snx292,-0.047092371,7.661930519,-0.405582378,0.685503472,0.91359771,-5.864423824,P150,MUT cells from HET vs WT cells from WT,Snx292
Wdr83os2,-0.047000716,7.750296846,-0.453491793,0.650709495,0.901814683,-5.771967005,P150,MUT cells from HET vs WT cells from WT,Wdr83os2
Psap2,-0.046998766,9.097086236,-0.274787359,0.783776634,0.948787512,-5.349715155,P150,MUT cells from HET vs WT cells from WT,Psap2
Ddx232,-0.046963731,8.002841192,-0.322482558,0.747439894,0.935905565,-5.618932676,P150,MUT cells from HET vs WT cells from WT,Ddx232
Senp72,-0.046914121,8.004839661,-0.317413678,0.751276473,0.937860403,-5.621035289,P150,MUT cells from HET vs WT cells from WT,Senp72
3110082I17Rik1,-0.046852612,7.561653163,-0.558509297,0.577150861,0.875781999,-5.868933431,P150,MUT cells from HET vs WT cells from WT,3110082I17Rik1
Galnt15,-0.046849054,7.761295245,-0.340560953,0.73380844,0.930888554,-5.802589464,P150,MUT cells from HET vs WT cells from WT,Galnt15
Ldb22,-0.046839572,7.718306384,-0.373031135,0.709538957,0.923173285,-5.830290395,P150,MUT cells from HET vs WT cells from WT,Ldb22
Map4k22,0.046834653,7.734484469,0.455185614,0.649492736,0.901380134,-5.781577494,P150,MUT cells from HET vs WT cells from WT,Map4k22
Zfp6372,-0.046783593,7.737737046,-0.525231021,0.600031816,0.883474813,-5.7468095,P150,MUT cells from HET vs WT cells from WT,Zfp6372
Cacng22,0.046772331,7.924465665,0.375467462,0.707729514,0.922487095,-5.680039508,P150,MUT cells from HET vs WT cells from WT,Cacng22
mt-Co12,-0.046687781,7.898665523,-0.338459355,0.735388843,0.930974322,-5.684224388,P150,MUT cells from HET vs WT cells from WT,mt-Co12
Exph5,-0.046651421,7.465351611,-0.843569172,0.399965507,0.785920882,-5.759420136,P150,MUT cells from HET vs WT cells from WT,Exph5
Tmem184b2,0.046593619,7.683399861,0.542456347,0.588136583,0.879621208,-5.788816112,P150,MUT cells from HET vs WT cells from WT,Tmem184b2
Vamp12,-0.046555219,7.823327935,-0.376275101,0.707130052,0.922487095,-5.740862551,P150,MUT cells from HET vs WT cells from WT,Vamp12
Rpl282,-0.046554242,8.792716309,-0.267535298,0.789345735,0.95096507,-5.370940526,P150,MUT cells from HET vs WT cells from WT,Rpl282
Clasp12,0.046549616,7.900995333,0.380893229,0.70370582,0.920914234,-5.695524104,P150,MUT cells from HET vs WT cells from WT,Clasp12
Trpc32,0.04651356,7.554166334,0.662649429,0.508354,0.843953828,-5.831712662,P150,MUT cells from HET vs WT cells from WT,Trpc32
Gpt22,-0.046512561,7.642661238,-0.524181715,0.600759964,0.883474813,-5.832400025,P150,MUT cells from HET vs WT cells from WT,Gpt22
Arl4a2,-0.046509047,7.901379316,-0.379787423,0.704525201,0.920914234,-5.684493288,P150,MUT cells from HET vs WT cells from WT,Arl4a2
Gsk3a2,-0.04643322,7.652597477,-0.560825483,0.575573873,0.87558077,-5.805248224,P150,MUT cells from HET vs WT cells from WT,Gsk3a2
Zfp1312,-0.046414207,7.687464421,-0.469571764,0.639196667,0.896383269,-5.814434662,P150,MUT cells from HET vs WT cells from WT,Zfp1312
Tshz22,0.046407677,7.627742855,0.499534891,0.617977595,0.888214627,-5.865151984,P150,MUT cells from HET vs WT cells from WT,Tshz22
Adamtsl12,-0.04640662,7.509196454,-0.779010415,0.436937748,0.81086812,-5.774290469,P150,MUT cells from HET vs WT cells from WT,Adamtsl12
Prex12,-0.046364562,7.520973982,-0.686069384,0.493501375,0.840189109,-5.832083463,P150,MUT cells from HET vs WT cells from WT,Prex12
6430573F11Rik2,-0.04636156,7.594212683,-0.548558492,0.583949154,0.87841337,-5.8437417,P150,MUT cells from HET vs WT cells from WT,6430573F11Rik2
