"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test","SYMBOL"
"Ap2a21",0.0915696003160349,7.9869630164245,0.592715232324642,0.554102173050447,0.737230976342296,-5.69930734029503,"P60","MUT cells from HET vs WT cells from WT","Ap2a21"
"Zfp955a1",-0.0915618577249413,7.90601836126999,-0.708177855610454,0.479734271414345,0.679348222876762,-5.67220973705361,"P60","MUT cells from HET vs WT cells from WT","Zfp955a1"
"Hivep11",0.0915573336494466,7.61850474180454,0.773709129332034,0.440099401053183,0.645651203421914,-5.79278272955723,"P60","MUT cells from HET vs WT cells from WT","Hivep11"
"Dbn11",-0.0914773371386204,8.39960620089851,-0.589960227749714,0.555943777906445,0.738478016627124,-5.61209923652832,"P60","MUT cells from HET vs WT cells from WT","Dbn11"
"Snph1",0.091448702596022,8.34876573713063,0.608275562317207,0.54375761656352,0.729075974023696,-5.60349487179778,"P60","MUT cells from HET vs WT cells from WT","Snph1"
"Iqgap21",0.0913965034838196,7.61856906245889,0.798207869996683,0.425782666257555,0.633101597491868,-5.77002539169131,"P60","MUT cells from HET vs WT cells from WT","Iqgap21"
"Hdac61",0.0913725956487648,7.64732052138575,0.756732583658261,0.450181518957161,0.654428926434431,-5.77448914012574,"P60","MUT cells from HET vs WT cells from WT","Hdac61"
"Gm446431",-0.0913711072975412,7.68683636805285,-0.703742629812453,0.482485957321644,0.681327554336021,-5.77847356191049,"P60","MUT cells from HET vs WT cells from WT","Gm446431"
"Cnpy21",0.0912768319094051,7.52401474710594,0.7924133866231,0.429143917898042,0.636296376191841,-5.85236733195572,"P60","MUT cells from HET vs WT cells from WT","Cnpy21"
"Eef1d1",0.0912598564097324,7.55350288438703,0.727415289030284,0.467899550303038,0.669294362461684,-5.8741515576022,"P60","MUT cells from HET vs WT cells from WT","Eef1d1"
"Fam120aos1",0.0911711852285846,7.54314428523443,0.863980325820135,0.388727724001554,0.604622774650449,-5.77929403476849,"P60","MUT cells from HET vs WT cells from WT","Fam120aos1"
"Atp5g11",0.0911118228380063,7.67481138808005,0.638991307484863,0.523626162483352,0.715629106918773,-5.83266313455277,"P60","MUT cells from HET vs WT cells from WT","Atp5g11"
"Akap131",0.0910586107844784,7.9068540100149,0.665116065187483,0.506812143697971,0.70258975176604,-5.69357341453973,"P60","MUT cells from HET vs WT cells from WT","Akap131"
"Casp31",0.0910243010140599,7.41295082447836,1.08562365512333,0.279071039658425,0.498132512273269,-5.67897029752341,"P60","MUT cells from HET vs WT cells from WT","Casp31"
"Zfp2771",0.0910030448721306,7.71155571055669,0.727212476263243,0.468023462793159,0.669344018448612,-5.75179423414531,"P60","MUT cells from HET vs WT cells from WT","Zfp2771"
"Sgsm31",0.0909885529713073,7.7662220431763,0.778292098910201,0.437400196809169,0.643983205712997,-5.68513430958731,"P60","MUT cells from HET vs WT cells from WT","Sgsm31"
"Nespas1",0.0909562779860744,7.34046011827596,1.24413106848975,0.215039717624705,0.426329733436139,-5.56033159978704,"P60","MUT cells from HET vs WT cells from WT","Nespas1"
"Senp21",0.0909393872518383,8.27527171909892,0.591279371366926,0.55506161012573,0.737722692593602,-5.62873027133623,"P60","MUT cells from HET vs WT cells from WT","Senp21"
"Pid11",-0.0908772885513756,7.87030210881329,-0.644696655777853,0.51992970442441,0.712352109184,-5.73117244314802,"P60","MUT cells from HET vs WT cells from WT","Pid11"
"Morf4l11",0.0906377316563933,8.59983011331841,0.503775576171569,0.615023941858772,0.781259698037722,-5.62293390547538,"P60","MUT cells from HET vs WT cells from WT","Morf4l11"
"Rtn4rl11",0.0905762902742833,7.65927856562096,0.724982806613791,0.469386931299659,0.670689262820439,-5.78782523950821,"P60","MUT cells from HET vs WT cells from WT","Rtn4rl11"
"Sobp1",0.0905739201426981,7.87003435654573,0.600969248203896,0.548602795909416,0.733033365474405,-5.75080345704194,"P60","MUT cells from HET vs WT cells from WT","Sobp1"
"Ube2n1",0.0905563743094406,7.61578699694873,0.796397956122703,0.426830890132875,0.63399425961146,-5.77261584347246,"P60","MUT cells from HET vs WT cells from WT","Ube2n1"
"Sptbn41",-0.0905156309149522,8.59114279276531,-0.512494857376908,0.608921641593613,0.775912378760141,-5.62856539115376,"P60","MUT cells from HET vs WT cells from WT","Sptbn41"
"Pank21",0.0904890737296311,7.72089177575599,0.75845745291851,0.44915116090326,0.653564148035304,-5.72339447350645,"P60","MUT cells from HET vs WT cells from WT","Pank21"
