"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Gprc5b",-0.00932703253060296,7.51194075566717,-0.105298989760219,0.9161958660486,0.966959979821807,-6.02245170630613,"P30","WT cells from WT vs WT cells from HET"
"Ppp1r10",0.00931545601298467,7.92556034945592,0.089983740351856,0.928349031218753,0.971338911262675,-5.85402753225874,"P30","WT cells from WT vs WT cells from HET"
"Unc79",0.00931254480900101,8.35582336392385,0.0998511551451412,0.92051680218257,0.968666911835197,-5.75502751421719,"P30","WT cells from WT vs WT cells from HET"
"Atp6v1a",-0.00931080902155657,8.00260331122316,-0.102746702031698,0.918219904953512,0.96760316034597,-5.82898592452519,"P30","WT cells from WT vs WT cells from HET"
"Rtf1",-0.00930627303702103,7.89393250461676,-0.0949993021559283,0.924367025604394,0.969981957488984,-5.86410341388601,"P30","WT cells from WT vs WT cells from HET"
"Ier5",0.00930054904673305,7.676429981505,0.120421854054232,0.904214620413936,0.962142151798603,-5.94296350606332,"P30","WT cells from WT vs WT cells from HET"
"2610507B11Rik",-0.00929446594104277,8.10797553376879,-0.100084988941994,0.920331288172169,0.968607163548385,-5.80111251108988,"P30","WT cells from WT vs WT cells from HET"
"Dbi",0.0092923450536615,7.50748327809083,0.0952240822224604,0.924188609726083,0.969981957488984,-6.02654993472485,"P30","WT cells from WT vs WT cells from HET"
"Snrpa",0.00923343525335962,7.85366503740185,0.0962862684811086,0.923345566924418,0.969744841644238,-5.87916698468623,"P30","WT cells from WT vs WT cells from HET"
"Trim24",0.00922988554711068,7.72443059649218,0.100163496455166,0.920269004551602,0.968607163548385,-5.9261095206998,"P30","WT cells from WT vs WT cells from HET"
"Ube3a",-0.00918086128457141,8.7675763609112,-0.0909477194995553,0.927583556140939,0.971338911262675,-5.72329739521878,"P30","WT cells from WT vs WT cells from HET"
"Tsr3",-0.00911964671027121,7.71381876181901,-0.105690139033797,0.915885721088223,0.96676826114868,-5.93008632678866,"P30","WT cells from WT vs WT cells from HET"
"Kdm6b",-0.00911098010005507,7.58525984236854,-0.103909340402734,0.917297831885557,0.967521407087696,-5.98303841381995,"P30","WT cells from WT vs WT cells from HET"
"Atxn7l3b",0.00910692073147246,8.17480464871648,0.0784705756109036,0.937496334020764,0.975213938500239,-5.78729121967627,"P30","WT cells from WT vs WT cells from HET"
"Tmem131l",-0.00908601529640851,7.6231957357505,-0.113864601193137,0.909407146643936,0.964271644691645,-5.96632513535668,"P30","WT cells from WT vs WT cells from HET"
"Ikbkap",0.00907023192522072,7.89056804444241,0.0993621019570626,0.920904810673505,0.968723228898619,-5.86525818835411,"P30","WT cells from WT vs WT cells from HET"
"Map3k4",-0.00902809496109036,7.68926399868814,-0.101186538311765,0.919457423434785,0.968364733191954,-5.94094905165829,"P30","WT cells from WT vs WT cells from HET"
"Acot7",0.00901154170491125,7.83867969371233,0.100601263886531,0.919921712530996,0.968582558785784,-5.88338084653543,"P30","WT cells from WT vs WT cells from HET"
"Myo9a",-0.00900065247726722,8.79047269532271,-0.087707574366263,0.930156748538886,0.972144373287305,-5.72388063813793,"P30","WT cells from WT vs WT cells from HET"
"Pibf1",-0.00899501739665798,7.7490032704315,-0.0917664205514898,0.926933496083045,0.971338911262675,-5.91733231701765,"P30","WT cells from WT vs WT cells from HET"
