"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"181","SLC38A2",-0.448239227464412,1.8921144606015e-05,0.000408435742185014,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"182","RSRP1",0.532000677155552,1.91190098001065e-05,0.000410348576052572,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"183","IPCEF1",-0.444843054555526,1.9262723180646e-05,0.000411084024241513,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"184","NCKAP1",-0.55959786788145,1.93987099095237e-05,0.000411647200113962,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"185","GRAMD1B",-0.41734790967478,1.9902753138471e-05,0.000419970453865714,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"186","HSPA4L",-0.442213862492917,2.07861204651665e-05,0.000436160159034443,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"187","HMGN1",0.450941508375896,2.18828043786549e-05,0.000456621184701266,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"188","CLSTN2",-0.44719133104907,2.20604787037657e-05,0.000457785403377592,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"189","SEPT3",-0.418982587790983,2.30085986719856e-05,0.000474836794571306,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"190","FAM217B",-0.426367119339149,2.35139272764352e-05,0.000482613720493392,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"191","LRP1",-0.419192607859754,2.40287002398378e-05,0.000490498902721907,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"192","RPL4",-0.43326821592066,2.83919028886376e-05,0.000576432363512015,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"193","TMEM161B-AS1",0.423497385201202,2.90072793226897e-05,0.000585759898580767,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"194","LINC00632",0.587106672945618,3.05192400839178e-05,0.000612996073557193,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"195","UBA1",-0.405093636703575,3.11252257071237e-05,0.000621842275297642,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"196","RNF11",-0.478508132457029,3.15151313777789e-05,0.00062630070611078,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"197","LNX1",0.421795520699647,3.22858150068267e-05,0.000638239585082322,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"198","PRKCE",-0.415241767413982,3.28086639907283e-05,0.00064389706397612,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"199","SLC9A6",-0.41293314468149,3.29148658901531e-05,0.00064389706397612,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"200","GABPB1-AS1",0.455256802691159,3.3478592999796e-05,0.000651531581902765,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"201","PHYHIP",-0.575802521411079,3.40042266830312e-05,0.000658349873306522,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"202","PTPRK",-0.468669073843145,3.59289537295079e-05,0.000690739753921968,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"203","AC007388.1",0.411721068092626,3.61956865382749e-05,0.000690739753921968,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"204","FAM169A",-0.407798512894128,3.62288955065569e-05,0.000690739753921968,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"205","DYNC1H1",-0.587809121229833,3.70993667815521e-05,0.000703763745613685,"L2_3_IT","females","P30","CORT","limmaVoomCC"
"206","GTF2A1",-0.399638185287086,3.7502961144598e-05,0.000707844834467889,"L2_3_IT","females","P30","CORT","limmaVoomCC"
