"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"94","SYNPO",-0.479242037,8.4992e-07,3.37341e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"95","GPI",-0.569983443,8.53231e-07,3.37341e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"96","CASD1",-0.493796476,8.75084e-07,3.42376e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"97","SYN1",-0.513764218,9.63288e-07,3.73001e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"98","TBRG1",0.516159768,1.02479e-06,3.92768e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"99","SULT4A1",-0.501434201,1.04323e-06,3.94761e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"100","CACNG3",0.483384312,1.05102e-06,3.94761e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"101","FAT3",-0.576580013,1.07445e-06,3.99567e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"102","DLG2",0.647707518,1.11794e-06,4.11666e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"103","CAMKK1",-0.479069139,1.19654e-06,4.36331e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"104","KLC2",-0.470656565,1.35315e-06,4.88697e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"105","PPP2CA",-0.487368116,1.51463e-06,5.41804e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"107","PPP1R9A",-0.55219409,1.71692e-06,6.02687e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"108","MAST3",-0.487399963,1.76945e-06,6.15374e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"109","CAMK2G",-0.473362059,1.80518e-06,6.22044e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"110","ZNF493",0.516093811,1.86068e-06,6.35338e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"111","EPN1",-0.459899514,1.92583e-06,6.51626e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"112","SLC2A3",-0.484044464,1.94308e-06,6.51626e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"113","PKIA",-0.479358334,1.99811e-06,6.64149e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"114","KIAA1549L",-0.559397803,2.12399e-06,6.94134e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"115","DLG4",-0.475939956,2.12528e-06,6.94134e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"116","GUCY1A2",-0.615727344,2.17086e-06,7.02909e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"117","AL078639.1",-0.552588032,2.21241e-06,7.06486e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"119","ABLIM1",-0.496194446,2.34633e-06,7.40574e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"120","JUND",-0.477044018,2.42052e-06,7.57623e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"121","TUBB4B",-0.457772317,2.46207e-06,7.59569e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"122","EIF1AX",-0.518007004,2.46718e-06,7.59569e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"123","TMEM246",-0.457404172,2.55373e-06,7.79822e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
