"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"OGFRL1",-1.45938865,-0.545364138,7.12906e-08,4.78156e-06,7.879620712,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KBTBD11",-1.435936382,-0.521991833,7.37317e-08,4.85853e-06,7.805069905,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CES4A",1.453729047,0.539758398,7.80727e-08,5.05588e-06,8.064247652,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ZYG11B",-1.486041094,-0.571474012,8.49513e-08,5.40808e-06,8.268880835,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MLIP",1.453099089,0.539133085,8.87533e-08,5.55595e-06,7.929029989,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NFIX",-1.4620757,-0.54801801,9.7189e-08,5.98429e-06,8.050244083,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ANXA6",-1.435297976,-0.52135028,1.09246e-07,6.61818e-06,7.859600542,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CEND1",-1.48742041,-0.572812474,1.17896e-07,7.02886e-06,8.228206863,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MAPK8IP3",-1.442905907,-0.528977224,1.49728e-07,8.78714e-06,8.106180457,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EGR3",-1.453165628,-0.539199147,1.57808e-07,9.11887e-06,7.840436905,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CLCN4",-1.430005581,-0.516020778,1.7335e-07,9.73002e-06,7.914895513,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TGOLN2",-1.43808476,-0.52414871,1.73565e-07,9.73002e-06,8.063474875,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PLEKHB2",-1.428344879,-0.514344366,2.16014e-07,1.19316e-05,8.039472482,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CMIP",-1.436076867,-0.522132972,2.64977e-07,1.44239e-05,8.07458979,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KIAA0513",-1.417801697,-0.503655762,3.29756e-07,1.73913e-05,8.03020894,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RGS7",1.5062774,0.590987485,3.3284e-07,1.73913e-05,8.579605877,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MTURN",-1.479457235,-0.565067995,3.33379e-07,1.73913e-05,8.334919773,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATP1A3",-1.43828801,-0.524352598,3.4591e-07,1.77978e-05,7.915337058,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DNAJB2",-1.431518153,-0.517545965,3.57849e-07,1.81632e-05,7.938981401,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PNMA8B",-1.417903994,-0.503759851,3.90572e-07,1.87484e-05,7.819609024,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SBNO1",-1.426864091,-0.512847925,3.91189e-07,1.87484e-05,8.207535116,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KIF1A",-1.538838481,-0.621841812,3.92369e-07,1.87484e-05,8.563105661,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CTNND1",1.44515868,0.531227911,3.93019e-07,1.87484e-05,8.016259496,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CRYM",1.4361933,0.522249937,3.94335e-07,1.87484e-05,8.100235315,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LY86-AS1",1.416171902,0.501996397,4.09804e-07,1.92403e-05,7.868369893,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NFE2L1",-1.408696024,-0.494360332,4.71617e-07,2.16411e-05,7.843692974,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPM1A",-1.422831774,-0.508765098,4.72462e-07,2.16411e-05,8.093939759,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MARCKS",-1.430371031,-0.516389424,4.79338e-07,2.16915e-05,7.98185401,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"NCEH1",-1.433303032,-0.519343659,5.08482e-07,2.27364e-05,8.128536978,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ATP6AP2",-1.4374986,-0.523560551,5.17354e-07,2.2861e-05,8.199448511,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC17A7",-1.567888483,-0.64882295,5.29149e-07,2.29282e-05,8.793046849,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KLC1",-1.488948401,-0.574293759,5.31085e-07,2.29282e-05,8.444604649,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CCDC14",1.432784968,0.518822106,6.70073e-07,2.85999e-05,8.17112286,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KCNQ2",-1.406448189,-0.492056408,6.87291e-07,2.87571e-05,7.981382752,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HMGCS1",1.417084294,0.502925579,6.907e-07,2.87571e-05,8.160924339,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RIMS3",-1.398382909,-0.483759457,6.98072e-07,2.87571e-05,7.945471703,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CA11",-1.457225054,-0.543223705,7.0438e-07,2.87571e-05,8.402995405,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ANXA11",-1.393698483,-0.478918478,7.25435e-07,2.92982e-05,7.866891431,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SYNPO",-1.394011088,-0.479242037,8.4992e-07,3.37341e-05,7.779323621,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GPI",-1.484506534,-0.569983443,8.53231e-07,3.37341e-05,8.447373329,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CASD1",-1.408145563,-0.493796476,8.75084e-07,3.42376e-05,7.936392708,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
