"","SYMBOL","FC_mouse","logFC_mouse","P.Value_mouse","adj.P.Val_mouse","AveExpr_mouse","Sex_mouse","DEG_method_mouse","Cell_Type_mouse","Metadata_mouse","Time_point_mouse","Tissue_mouse","broad_class_mouse","FC_human","logFC_human","P.Value_human","adj.P.Val_human","AveExpr_human","Sex_human","DEG_method_human","Cell_Type_human","Metadata_human","Time_point_human","Tissue_human","broad_class_human"
"40","ATP2A2",1.61024486645897,0.687280092541353,1.56860360374579e-05,0.00153723153167087,9.17226372074188,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.413714302,-0.499490595,0.000174826,0.002345169,8.769436226,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"41","ATP2B1",1.54328022700035,0.62600004855607,7.09572126836651e-05,0.00419852488633913,9.51035878114472,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.427612139,-0.513604074,1.18102e-05,0.001048297,9.755037661,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"42","ATP2B1",1.99904514836411,0.999311055667067,0.00105884370523598,0.0261736154036996,10.6216034832588,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.427612139,-0.513604074,1.18102e-05,0.001048297,9.755037661,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"43","ATP2B2",2.01078795557931,1.0077609525714,0.00277590743646803,0.030781212049848,9.62473780525287,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.343563266,-0.426064257,0.000232316,0.027256339,8.178743556,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"44","ATP2B2",1.64619391532872,0.719134289711592,7.08952763355093e-06,0.00101057993903708,9.17612258697596,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.343563266,-0.426064257,0.000232316,0.027256339,8.178743556,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"45","ATP2B2",1.4561031287021,0.542112538227658,0.000514460623398784,0.0327303396610605,9.10524467156691,"females","LimmaVoomCC","Lamp5","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.343563266,-0.426064257,0.000232316,0.027256339,8.178743556,"female","LimmaVoomCC","Sncg","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"46","ATP6V0B",1.40364289992256,0.489175947010393,0.00133562907476522,0.0312098207287377,10.1296336830697,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.341121082,-0.423439496,4.46954e-05,0.002641863,8.322641628,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"47","ATP6V0B",1.40364289992256,0.489175947010393,0.00133562907476522,0.0312098207287377,10.1296336830697,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.335998348,-0.417918224,2.88426e-05,0.001177233,8.057854211,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"48","ATP6V0B",-1.89161535384254,-0.919618757006998,7.91286055719873e-05,0.0213082030718851,10.2041562457902,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P60_CORT","P60","CORT","Glutamatergic",-1.341121082,-0.423439496,4.46954e-05,0.002641863,8.322641628,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"49","ATP6V0B",-1.89161535384254,-0.919618757006998,7.91286055719873e-05,0.0213082030718851,10.2041562457902,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P60_CORT","P60","CORT","Glutamatergic",-1.335998348,-0.417918224,2.88426e-05,0.001177233,8.057854211,"female","LimmaVoomCC","Pvalb","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
