"","logFC","logCPM","LR","PValue","FDR","Sex","Time_point","Cell_type","SYMBOL"
"21995",1.08568984678009,9.40784278079756,222.990888989204,2.0137890677927e-50,9.9007939518028e-47,"Male","P60","L2_3_IT","Bhlhe40"
"21996",-1.02148327507307,9.24097021529418,175.387539130221,4.92695524624819e-40,1.93787003745434e-36,"Male","P60","L2_3_IT","Adarb2"
"21997",1.01603450585958,9.2342103468546,174.751707420303,6.78309047242818e-40,2.22327095384621e-36,"Male","P60","L2_3_IT","mt-Atp8"
"21998",1.04066393972332,9.25297058715702,171.09237800402,4.27154120147142e-39,1.20005898954481e-35,"Male","P60","L2_3_IT","mt-Cytb"
"21999",1.0444956415195,9.28482265606499,169.423420201998,9.88777305318076e-39,2.43066181079816e-35,"Male","P60","L2_3_IT","mt-Co3"
"22000",0.469173486365561,10.6618997970603,160.273069604224,9.8624820530571e-37,2.1550619117269e-33,"Male","P60","L2_3_IT","AC149090.1"
"22001",0.57085665574055,10.074259887609,155.107164732873,1.32670709263266e-35,2.6091021683714e-32,"Male","P60","L2_3_IT","Enc1"
"22002",0.978343092214145,9.2432467148163,154.325984324617,1.96557168514853e-35,3.51408479637555e-32,"Male","P60","L2_3_IT","Dusp1"
"22003",-0.875210513171178,9.49603209087678,151.255772896727,9.21478143626781e-35,1.51014909771369e-31,"Male","P60","L2_3_IT","Zbtb20"
"22004",0.719729227031574,9.60439209103596,138.984217644362,4.43963691610477e-32,6.7161461224705e-29,"Male","P60","L2_3_IT","Rhobtb2"
"22005",0.487428818374178,10.3085050358783,137.351092385165,1.01043156716381e-31,1.41936765713168e-28,"Male","P60","L2_3_IT","Atp1a1"
"22006",0.313951917831483,12.58402316555,133.192536046285,8.20553300677259e-31,1.07580008074127e-27,"Male","P60","L2_3_IT","Gm42418"
"22007",0.912324922140386,9.24838509039918,131.391632078001,2.03273668225257e-30,2.49848747457369e-27,"Male","P60","L2_3_IT","Fos"
"22008",0.739186810203972,9.4812809245209,119.250162358152,9.23205370995341e-28,1.06798569564673e-24,"Male","P60","L2_3_IT","Fat3"
"22009",0.867136110348295,9.24883649114819,118.257694629439,1.52263351599793e-27,1.66356170697862e-24,"Male","P60","L2_3_IT","mt-Nd4l"
"22010",0.401899454565075,10.6687407857761,118.059734947535,1.68244034345519e-27,1.74141430496788e-24,"Male","P60","L2_3_IT","Rtn1"
"22011",0.874439418889298,9.26309296256128,117.749451299223,1.96733836637721e-27,1.93448381565871e-24,"Male","P60","L2_3_IT","mt-Co2"
"22012",0.581614838918998,9.78547257672505,117.469889324338,2.26512885790977e-27,2.12123924379303e-24,"Male","P60","L2_3_IT","Adam23"
"22013",0.599963723754242,9.72013159468408,114.654140351517,9.36928238497275e-27,8.37528669922155e-24,"Male","P60","L2_3_IT","Myh10"
"22014",0.752533302589431,9.43957878555313,114.101765160959,1.23789606722857e-26,1.05845495904856e-23,"Male","P60","L2_3_IT","Junb"
"22015",0.74919848598296,9.40450094824033,105.679488673844,8.66799669767732e-25,7.10270096068843e-22,"Male","P60","L2_3_IT","mt-Co1"
"22016",0.517913469324081,9.89049156856813,105.055915595531,1.18737444147311e-24,9.34036230640408e-22,"Male","P60","L2_3_IT","Atp6v0c"
"22017",0.487581106365233,10.0001245136537,104.511108293063,1.5631459877371e-24,1.18233957672453e-21,"Male","P60","L2_3_IT","Hspa8"
"22018",0.388760720058418,10.4892199344405,98.8713423566173,2.6945051316613e-23,1.96259770071301e-20,"Male","P60","L2_3_IT","Atp2b2"
