"gene_name","module","color","kME_green","kME_turquoise","kME_blue","kME_grey","kME_magenta","kME_brown","kME_yellow","kME_black","kME_pink","kME_red"
"4632415L05Rik","turquoise","turquoise",0.0672041303669786,0.120282901066169,0.0486615972704986,0.0768776451728533,0.0461427770638803,0.046421302773604,0.0550211171396988,0.0774544052879136,0.0591897958478333,0.0769523577720937
"Hps3","grey","grey",-0.00792844385802865,0.0507750684056851,0.0199219507641966,0.0339195699858795,0.0257785579870095,0.0223273592536766,-0.0257292540869584,0.0438178720675746,0.0134067000286073,-0.0106059422520034
"Hltf","blue","blue",0.0158011290598523,0.0328534867039445,0.0464615114139341,0.0131404450642417,0.0112162767120335,-0.0204195005094767,0.0220919557395305,-0.00637246880057627,0.0108951828321222,0.0195330205942757
"Tbl1xr1","grey","grey",0.00978406385932278,0.119866285308856,0.0759303593852837,0.113076238031188,0.0521443570509244,0.109677866501121,0.0641612961103118,0.125244017935481,0.0699241498402813,0.0531053872734824
"Nlgn1","brown","brown",0.127570241214978,0.275864220306643,0.132508105678421,0.353289326052269,0.180298156264162,0.388694155319899,0.110536492109938,0.367502702405531,0.307026115657539,0.206740530549354
"Nceh1","yellow","yellow",0.109240700229373,0.140603563331457,0.117491422626434,0.139014278644583,0.0779604406734923,0.0692685735758957,0.239973382877409,0.0794888796389391,0.0853451338018913,0.180168992706422
"Fndc3b","grey","grey",0.0408235253221305,0.0793008917797595,0.0381601656086927,0.100869208303181,0.0789003627693892,0.0998088773164121,0.0214600289048116,0.0977064485359429,0.0565962917769773,0.0550840443058118
"Tnik","brown","brown",0.153544725986185,0.352605335585909,0.167459545659514,0.389193154965879,0.232812528581476,0.39999007278448,0.0855145446708132,0.370773181638185,0.246339311099422,0.252655180469008
"Rpl22l1","yellow","yellow",0.0791727125231377,0.15252918382152,0.0481081620189171,0.0856412095588727,0.0652403302559303,0.0611218139041145,0.194094824127263,0.111107652118059,0.102773503410845,0.140170440767004
"Egfem1","grey","grey",0.111354489547411,0.143084861656962,0.0189663078965655,0.118596909126113,0.0850420013063471,0.118118805847364,0.0426723464298836,0.154626649383491,0.162003866928262,0.119713516938175
"Mynn","grey","grey",0.0443634874104842,0.081171083201948,0.0538720032191943,0.0849526039931938,0.0417195445893281,0.0692335931089005,0.0489318751181904,0.0713571188808402,0.0614127379363258,0.0660491241215913
"Sec62","yellow","yellow",0.0641137564644831,0.152964197439037,0.104802198250363,0.0676430637889877,0.0737744895735788,0.0270264060578913,0.206725715035637,0.0801382882173012,0.025275564034085,0.0988195717619277
"Phc3","grey","grey",0.0947164662555165,0.141827233974852,0.0816877572774801,0.171785705798216,0.0941224996622748,0.130994006670227,0.0439840897510495,0.131728965530238,0.115857787158814,0.1183750134796
"Prkci","grey","grey",0.0554779868312991,0.134335447970067,0.0613518953717644,0.121297692116914,0.0738560325885581,0.10340023543989,0.0600839401007104,0.125600303460749,0.0746332273429178,0.0848357486133439
"Skil","grey","grey",0.0227885341833014,0.113594671066302,0.0458498540529055,0.134853416137784,0.118201105001361,0.138121167333977,0.0445870290183067,0.149364645932442,0.05272411279184,0.0560063966876106
"Cldn11","blue","blue",-0.37627132754876,-0.313066195151096,0.0631939193440521,-0.38643710815692,-0.331540562865628,-0.39835380297326,-0.234517942719979,-0.389761790528794,-0.355219585106525,-0.432587875186219
"Slc7a14","red","red",0.115582606109672,0.136547441389516,0.0525000638417346,0.157001563106351,0.125682053222223,0.117078637228297,0.202627606300132,0.12364559475242,0.202759361863727,0.280966716162618
"Kcnmb2","green","green",0.189476437701005,0.076709323563871,0.0306547798676679,-0.0185215983837954,-0.044935955414489,-0.161593691985065,0.14301444383284,-0.113136792841849,0.00903706801830012,0.189743717543354
"Zmat3","grey","grey",0.129513332835559,0.19168487000661,0.0991689416514989,0.177826222581998,0.124042577050137,0.130642448790702,0.0939936055686197,0.156194325863327,0.0972392146350605,0.145573279167916
"Pik3ca","grey","grey",0.0566099887849227,0.087274914780508,0.064567542762762,0.103933484221213,0.0588043087856484,0.0755986888934284,0.0441734388863602,0.0727174058441608,0.0373898095766244,0.0639919148936688
"Zfp639","grey","grey",0.0523517239476768,0.0795673865046631,0.0515823290966836,0.0847376355808427,0.0579601294974518,0.0515294337527946,0.00390412373672258,0.0565178359223305,0.0487477445113682,0.0555688472381605
"Mfn1","green","green",0.120450464893118,0.151955021965389,0.0980098098473269,0.0931050899781788,0.0570418757008523,0.016551994698927,0.0334886967371463,0.0596596633164789,0.0424586742463377,0.0920516764349529
"Gnb4","blue","blue",-0.0313659106638898,-0.00581475485185114,0.0568662090927938,-0.0311077406383391,-0.0317167762756806,-0.0323349836508905,-0.0096798348485906,-0.0252803936224958,-0.0204101820992171,-0.0356219613141659
"Actl6a","turquoise","turquoise",0.024550284468048,0.15339117295048,0.0502449020471318,0.0743935654795046,0.0404800276779002,0.0662526218652232,0.0500538291152501,0.121195063956352,0.0668014858603999,0.0561871942126879
