"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsc22d1",6.1434110370489e-07,0.133198600208314,1,1,0.0106680332658354
"Cdc42bpa",6.1453370061408e-07,0.131323427081009,1,1,0.0106713777111635
"Kmt2a",6.21444582020867e-07,0.125798474553652,1,1,0.0107913851667924
"Rpl32",6.33862434413912e-07,0.134265514626833,1,1,0.0110070211735976
"Tspyl4",7.71147237370642e-07,0.130865530406302,1,1,0.0133909717769412
"Snap25",7.93924794174704e-07,0.135675570532152,1,1,0.0137865040508437
"Mrpl4",7.9581565278942e-07,0.134198602787629,1,1,0.0138193388106883
"Erp29",8.05485870835981e-07,0.134462616928672,1,1,0.0139872621470668
"Schip1",8.76697045468212e-07,0.126241604448265,1,1,0.0152238441945555
"Luc7l2",8.95824713241765e-07,0.1266304216766,1,1,0.0155559961454432
"Arpp21",9.97131769512204e-07,0.135982864528145,1,1,0.0173151931775794
"Ndufs7",1.03059623030679e-06,0.132909004173641,1,1,0.0178963035392774
"Gria3",1.07666057962714e-06,0.123230793632291,1,1,0.0186962109652253
"Mif",1.08416605994995e-06,0.132576102154992,1,1,0.0188265436310309
"Mettl26",1.08549239646415e-06,0.132939922671188,1,1,0.0188495754645999
"Rock2",1.1025985528999e-06,0.128950033735663,1,1,0.0191466238711067
"Tmx4",1.15060161024021e-06,0.131482250040156,1,1,0.0199801969618213
"Tcf4",1.15130719042405e-06,0.133999668808374,1,1,0.0199924493617136
"Svop",1.24887212948014e-06,0.131115032971784,1,1,0.0216866645284226
"Prrt2",1.27930816715547e-06,0.131561607763983,1,1,0.0222151863226547
"Ptbp2",1.30324445407764e-06,0.130090316798007,1,1,0.0226308399450583
"Synj1",1.31419131516029e-06,0.127319309862193,1,1,0.0228209321877584
"Lmo3",1.36705933779199e-06,0.131209939461618,1,1,0.0237389854007579
"Atp6v1h",1.4158581883514e-06,0.130435928705718,1,1,0.024586377440722
"Sptbn4",1.43026611610716e-06,0.129831557090134,1,1,0.0248365711062008
"Lnpep",1.44242690210491e-06,0.129586560446318,1,1,0.0250477431550518
"Jph4",1.44820229678906e-06,0.129352205595594,1,1,0.0251480328837421
"Mbnl2",1.57534003134796e-06,0.12260302130345,1,1,0.0273557796443573
"Pbx1",1.60727704624789e-06,0.123266723979894,1,1,0.0279103659080946
"Ndufb5",1.63236036462216e-06,0.130612144077984,1,1,0.0283459377316639
"Cck",1.72336020609315e-06,0.129740375909068,1,1,0.0299261499788075
"4932438A13Rik",1.75078298978243e-06,0.125343774681097,1,1,0.0304023466175719
"Nsg2",1.8263498991906e-06,0.12470895381716,1,1,0.0317145659994449
"Fnbp1l",2.0078032240081e-06,0.125328865556233,1,1,0.0348655029849007
"Peg3",2.16900726666804e-06,0.135484765423414,1,1,0.0376648111856906
"mt-Co1",2.30571421089423e-06,0.128365463920046,1,1,0.0400387272721783
"Acot7",2.32534166586721e-06,0.128440770087764,1,1,0.0403795580277841
"Atp6v0a1",2.47733944995398e-06,0.123507336223736,1,1,0.0430189995484509
"Rps4x",2.48435954800194e-06,0.126960314612433,1,1,0.0431409035510537
"Timp2",2.50594967862701e-06,0.12745987528182,1,1,0.043515816169358
"Trim2",2.73236452499608e-06,0.121209618239127,1,1,0.047447509976557
"Apbb2",2.77999516133106e-06,0.127403585711259,1,1,0.0482746159765138
"Rprm",2.82389860733053e-06,0.126995633789532,1,1,0.0490369993162946
