"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Eral12",-0.0251945228768005,7.77353171156898,-0.234741266937574,0.814640365900322,0.960669063751239,-5.74196766346127,"P150","Eral12"
"Rufy32",-0.025175578158013,8.84492534356643,-0.151559286018272,0.87968137221403,0.97479452605154,-5.31246289631357,"P150","Rufy32"
"Srp722",-0.0251654083170116,7.86164027402105,-0.233897674811134,0.815294358019964,0.960669063751239,-5.66595783677492,"P150","Srp722"
"Nasp2",0.0251363300161342,7.58828511478957,0.292555167505186,0.770153671145231,0.943714738353385,-5.89626693652167,"P150","Nasp2"
"Ywhah2",-0.0250927969696964,8.7541410601837,-0.153494351005442,0.878157186051417,0.97479452605154,-5.32011966451081,"P150","Ywhah2"
"Sc5d2",-0.0250543256153746,7.87431370102674,-0.215001961583919,0.829976345003131,0.962813591013211,-5.65328717929908,"P150","Sc5d2"
"Snx172",-0.0250062375019917,7.74723810555753,-0.24907503312162,0.803548400667116,0.955869384935894,-5.76363351646671,"P150","Snx172"
"Pus102",-0.0249905260704111,7.83047528137683,-0.189512207315654,0.849876103213062,0.969063873037233,-5.70233498827329,"P150","Pus102"
"Rell12",0.0249755105013207,7.54894961903306,0.377543414391982,0.70615457646971,0.924749688648596,-5.90308815353791,"P150","Rell12"
"Gramd1a2",-0.0249532788446123,7.76424612856942,-0.236171880306846,0.813531585013467,0.960051653601465,-5.74767300829221,"P150","Gramd1a2"
"Nle12",-0.0249524125547769,7.62298402088789,-0.330802430926668,0.741126559516137,0.934685813806965,-5.85339779528396,"P150","Nle12"
"Zcchc82",-0.024864802616996,7.82937041392437,-0.251238038552868,0.801877987497086,0.954878675892503,-5.68574163006938,"P150","Zcchc82"
"Msl22",-0.0248598271018254,7.5233021780112,-0.308803082732443,0.757780252058753,0.940761393520853,-5.94365051261771,"P150","Msl22"
"Bcas12",0.0248053027569917,7.48603698105301,0.449194183613634,0.653759038843858,0.907659325682595,-5.92408466558445,"P150","Bcas12"
"Capns12",0.0248047213753377,7.79061747445255,0.248240926838238,0.804192793653974,0.956089955364446,-5.72486040461223,"P150","Capns12"
"Fam32a2",0.0247860402103344,7.60433224180297,0.332167473989106,0.740097132213384,0.934329079655397,-5.87372302406995,"P150","Fam32a2"
"Cenpc12",0.0247438365320125,7.81854381139059,0.203333087524784,0.839073379506132,0.965537209380587,-5.70522650284664,"P150","Cenpc12"
"Copb22",0.0247340662956193,7.68990081218312,0.279663112698129,0.780013751592736,0.947690420897059,-5.80997104529212,"P150","Copb22"
"Gfra12",-0.0246648458963659,7.56547808602075,-0.308933509746244,0.757681174491806,0.940761393520853,-5.91045069140465,"P150","Gfra12"
"Rpl392",0.0246615700853692,7.88435224946332,0.197585513193163,0.843562233000553,0.966185820861785,-5.65243715459885,"P150","Rpl392"
"C1qtnf42",0.024640257968997,8.06256501370028,0.196996934553785,0.844022204361497,0.966185820861785,-5.53209611134989,"P150","C1qtnf42"
"Phactr12",-0.0246293519820586,8.73515496716636,-0.147445232814604,0.882923360382252,0.975080222657552,-5.32293860698397,"P150","Phactr12"
"Myo9a2",-0.024613906151469,8.3019205192149,-0.179281016123509,0.857891487510153,0.971688908034792,-5.42242386957405,"P150","Myo9a2"
"Hras2",-0.0246042225471177,7.81379726947722,-0.229609650971278,0.818620629876105,0.961223191515195,-5.70319966309493,"P150","Hras2"
"Mgat5b2",-0.0245613536273313,7.60790539963192,-0.286700756645195,0.774626701577577,0.945185554459868,-5.87811122906477,"P150","Mgat5b2"
"Ptch12",-0.0245143196812636,7.51005539992516,-0.352526826865982,0.724799980955819,0.930601197223384,-5.9392862231775,"P150","Ptch12"
"Rpl35a2",-0.0244972884418857,7.8951477560559,-0.188626269620511,0.8505695648806,0.969195437959973,-5.63961897655098,"P150","Rpl35a2"
"Dhx362",-0.0244426267607825,7.95670852932201,-0.178618846173022,0.858410767018627,0.971688908034792,-5.59988193146857,"P150","Dhx362"
"Trim242",0.0244222881304816,7.79528850256045,0.252977724709442,0.800535150033027,0.954161657396508,-5.71854370900335,"P150","Trim242"
"Atp5b2",-0.0243598439255894,8.80753190644578,-0.150591185650891,0.880444081512623,0.97479452605154,-5.31560202662892,"P150","Atp5b2"
"Lman22",0.0243548016821533,7.6858123728938,0.28072816596404,0.779197802995851,0.947222972753092,-5.81388646982452,"P150","Lman22"
"Gm26941",0.0243098784222626,7.46173459666692,0.495391816237388,0.62084627594983,0.898987734521225,-5.92309387615099,"P150","Gm26941"
"Tubb4b2",0.0242966332300831,8.13649601675601,0.182405037897703,0.855442441109679,0.971688908034792,-5.49178416193627,"P150","Tubb4b2"
