"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Cdipt2",0.0632007912055323,7.80695374250583,0.976089699374259,0.329359370811735,0.762828336521485,-5.39338062151663,"P150","Cdipt2"
"Rp92",0.0632004824624133,8.06238679159167,0.844344224979533,0.398767394880662,0.80717169204463,-5.37352595368158,"P150","Rp92"
"Rpl242",0.063199728936965,8.34428585433182,0.69701429338736,0.486026741035363,0.853241983088586,-5.3846471702398,"P150","Rpl242"
"Creb12",-0.0631169192844228,7.72061296790441,-1.08048366329523,0.280301360074105,0.726456994222523,-5.3471361767903,"P150","Creb12"
"Uros2",-0.063109652023849,7.60372540487659,-1.22423435736298,0.221278336085285,0.677389242815854,-5.2743065498105,"P150","Uros2"
"Aph1a2",-0.0631082213369583,7.76238424361227,-1.05337032810524,0.29253708837742,0.735742510040136,-5.34696484393786,"P150","Aph1a2"
"Zbtb112",-0.0631065392628996,7.876210761657,-0.97322286086966,0.330780885889231,0.764238921190193,-5.35155181837256,"P150","Zbtb112"
"Snx72",-0.0630689612175512,7.56331073479714,-1.3054195367251,0.19218167419624,0.645543941054104,-5.20899482603046,"P150","Snx72"
"Dlgap12",-0.0630586799089556,9.73447029889789,-1.05287447749832,0.292764153193516,0.736067575269365,-5.03070818635303,"P150","Dlgap12"
"Odc12",0.0630556318443087,7.52381895043671,1.29376575471556,0.196175798471186,0.650891923939893,-5.25943237405033,"P150","Odc12"
"Zfp2872",0.0630506671702316,7.70204725486613,1.04396312770718,0.296865143772914,0.738937519166625,-5.39773317453182,"P150","Zfp2872"
"Ece12",0.06301863690285,7.53296498619467,1.24343994391238,0.214124705141847,0.668861936983145,-5.31370029356763,"P150","Ece12"
"Gm144432",0.0630045032807711,7.50179058665118,1.45516754237551,0.146074044030249,0.589703423459024,-5.06876419702636,"P150","Gm144432"
"Nek72",0.0629592832180368,7.50238094471433,1.32033473838577,0.187157594694488,0.6369791497404,-5.24490051555628,"P150","Nek72"
"Hmox22",0.0629347026895166,7.65407609397244,1.08744033174471,0.277218939526963,0.72444948260055,-5.39026923990929,"P150","Hmox22"
"Ehd32",0.0628702976657687,7.63300511220575,1.12557689280662,0.260732889533882,0.708564461445453,-5.36703152535116,"P150","Ehd32"
"Tsc22d12",-0.0628694191852581,8.26607803695919,-0.778391803129066,0.436602783821753,0.825901445012241,-5.34982708602639,"P150","Tsc22d12"
"Chd72",0.0628525065526508,7.42319876301172,1.56062538378699,0.119067027720438,0.557144933717868,-4.98234464000847,"P150","Chd72"
"Gpr1582",0.0628430238152902,8.24070894069366,0.825759653706768,0.409223587365347,0.811087344786032,-5.32459717397904,"P150","Gpr1582"
