"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atp2a2",4.32982307580957e-10,-0.171829783208036,1,1,7.48323322192168e-06
"Cadm2",4.41451172805035e-10,-0.164070670463787,1,1,7.62960061958942e-06
"Grasp",5.15897831808815e-10,-0.180540299978537,1,1,8.91626222715175e-06
"Tmx4",5.90338083162679e-10,-0.171782867395167,1,1,1.02028130913006e-05
"Son",6.51045851684837e-10,-0.159520565522384,1,1,1.1252025454669e-05
"Cdkl5",7.5947041443353e-10,-0.176008931061888,1,1,1.31259271726547e-05
"Atp1b1",7.83410410984916e-10,-0.168761248220932,1,1,1.35396821330523e-05
"Atl1",8.05797512020529e-10,-0.173836956324259,1,1,1.39265984002508e-05
"Nptxr",8.10580047769916e-10,-0.169354353888053,1,1,1.40092549656075e-05
"Nectin3",9.60171941089305e-10,-0.179213144413567,1,1,1.65946516578465e-05
"Trrap",9.95855706129937e-10,-0.172992247432117,1,1,1.72113741690437e-05
"Hnrnpu",1.00955994924072e-09,-0.149792208330358,1,1,1.74482246027274e-05
"Homer1",1.03059116038669e-09,-0.164341428008293,1,1,1.78117070249632e-05
"2900055J20Rik",1.03754880805538e-09,-0.173890776010362,1,1,1.79319560496211e-05
"Flrt2",1.04880553635358e-09,-0.172754065386381,1,1,1.81265060847989e-05
"Ppp3ca",1.0963136055173e-09,-0.158933739838647,1,1,1.89475880441556e-05
"Ntm",1.11513545401382e-09,-0.165311699120108,1,1,1.92728860517209e-05
"Arpp21",1.20274746490831e-09,-0.169720531588087,1,1,2.07870844360104e-05
"Cttnbp2",1.2872473091944e-09,-0.158285409183397,1,1,2.22474952448068e-05
"Map1b",1.36549433139719e-09,-0.161766852108842,1,1,2.35998385295377e-05
"Cltc",1.44035045015747e-09,-0.171860489795177,1,1,2.48935768300715e-05
"Ankrd33b",1.63414097396258e-09,-0.166230097699395,1,1,2.82428584529953e-05
"Cry2",1.64371825136136e-09,-0.168203862864387,1,1,2.84083825382785e-05
"Nrcam",1.67769986386079e-09,-0.151349967657258,1,1,2.8995686747106e-05
"Kalrn",1.68015396418316e-09,-0.168151501598679,1,1,2.90381009629776e-05
"Nrxn2",1.83839632289876e-09,-0.17297090810213,1,1,3.17730036486592e-05
"Prkcb",1.99541084309429e-09,-0.163929857186577,1,1,3.44866856011986e-05
"Gm27032",2.2273878399349e-09,-0.162844674042699,1,1,3.84959440375949e-05
"Slc17a7",2.270492414121e-09,-0.161785484705841,1,1,3.92409203932532e-05
"Nlgn1",2.9668453177865e-09,-0.161310213886275,1,1,5.12759876273042e-05
